Provider Name,Clinic/Practice Name,Address,Phone Number,Website,Hours of Operation,Reviews & Ratings,Insurance Accepted,Services Offered,Special Certifications,Patient Age Range,Additional Features,Description
,Alabama Pediatrics,"2815 Independence Drive, Birmingham, AL 35209",(205) 879-7888,https://alabamapediatrics.com,Mon–Fri 8:00am–5:00pm; Sat 8:00–11:00am; Sun closed,Google ~4.9★ (50+ reviews),"Most major plans incl. BCBS, Medicaid, United, Cigna","Well-child checkups, urgent sick visits (Sat), immunizations, ADHD/nutrition/lactation consults, travel clinic",All physicians are Board-Certified Pediatricians (FAAP),Newborns to college-age (~19–21),Online portal; Saturday urgent hours; same-day sick visits,Established Homewood/Vestavia pediatric group providing comprehensive care and specialty consults.
,Birmingham Pediatric Associates,"806 St. Vincent’s Dr. Suite 615, Birmingham, AL 35205",(205) 933-2750,https://birminghampedi.com,Mon–Fri 8:00am–4:30pm; Sat 8:00–11:00am,Google ~4.7★,"Most major plans incl. BCBS, Medicaid, Tricare","Well-child exams, same-day sick visits, vaccines, hospital newborn care, after-hours nurse line",All doctors Board-Certified (FAAP),Newborn through college age,24/7 nurse triage; on-site labs; patient portal,Longstanding pediatric group at St. Vincent’s offering full-service pediatric care.
,"Children’s Medical Group, P.C.","2316 7th Ave S Suite 100, Birmingham, AL 35233",(205) 251-4141,https://childmedgroup.com,Mon–Fri 8:00am–4:30pm,Google ~4.5★,"Most major plans (BCBS, United, VIVA, etc.)","Primary pediatric care, same-day sick visits, immunizations, chronic disease management",Board-Certified Pediatricians,Infants through adolescents,In-house lab testing; after-hours on-call; patient portal,"Downtown pediatric practice with compassionate care for infants, children, and teens."
,Greenvale Pediatrics – Brook Highland,"101 Eagle Ridge Dr., Birmingham, AL 35242",(205) 995-1004,https://www.childrensal.org/greenvale-brookhighland,Mon–Fri 8:00am–5:00pm,Google ~4.8★,"BCBS, Alabama Medicaid, Aetna, Cigna, Tricare, etc.","Newborn care, well-child checkups, immunizations, sick visits, on-site labs",NCQA Patient-Centered Medical Home,Newborns to college age (to 21),MyChart portal; weekend coverage via Hoover location,Children’s of Alabama affiliate providing comprehensive pediatric services since 1974.
,Greenvale Pediatrics – Hoover,"5295 Preserve Pkwy Suite 100, Hoover, AL 35244",(205) 987-4444,https://www.childrensal.org/greenvale-hoover,Mon–Thu 7:30am–4:30pm; Fri 8:00am–12:00pm; Sat/Sun 8:00am–12:00pm (shared),Facebook 5★; Best of Hoover 2019,"BCBS, Medicaid, VIVA, Aetna, Cigna, Tricare","Well-child, sick care, immunizations, sports/camp physicals, asthma management",Patient-Centered Medical Home; FAAP physicians,Newborns to college age,After-hours triage; online requests; weekend urgent clinic,Popular Hoover pediatric group with extended weekday and weekend hours.
,Mayfair Medical Group,"3401 Independence Dr., Homewood, AL 35209",(205) 870-1273,https://www.childrensal.org/mayfair,Mon–Fri 8:00am–5:00pm; Sat 9:00am–12:00pm,Google ~4.7★,Most commercial and Medicaid (Children’s network),"Preventive care, sick visits, vaccines, chronic condition management",NCQA Patient-Centered Medical Home (since 2017),Birth through college years,Online scheduling; telemedicine; 24/7 on-call,Established (since 1971) Children’s of Alabama-affiliated pediatric practice.
,"Metro Pediatrics, P.C.","401 Valley Avenue, Birmingham, AL 35209",(205) 941-1414,https://www.metropediatricsal.com,Mon–Fri 8:00am–4:00pm; 2nd Sat 8:00am–12:00pm,Facebook 4.9★,Most insurance; self-pay options,"Preventive care, acute care, asthma clinic, labs, behavioral health evals",Board-Certified pediatricians,Infants through college (new patients <19),Online booking; some evening hours,Community-focused pediatrics founded in 1984 by Dr. Derrol Dawkins.
,Midtown Pediatrics,"1400 4th Ave S, Birmingham, AL 35233",(205) 329-7200,https://www.childrensal.org/midtownpediatrics,Mon–Fri 8:00am–5:00pm,Healthgrades ~4.5★,Children’s Health System plans; most major insurers,"General pediatrics, same-day sick appointments, newborn hospital visits",Board-Certified pediatricians,Birth through adolescence,MyChart portal; specialty access via Children’s,Children’s of Alabama clinic offering patient-centered care downtown.
,Over the Mountain Pediatrics,"3300 Cahaba Rd Suite 102, Mountain Brook, AL 35223",(205) 870-7292,https://otmpeds.com,Mon–Fri 8:30am–5:00pm; Sat 8:30am–12:00pm,HealthGrades ~4.6★,"Children’s affiliate (BCBS, Medicaid, Tricare, etc.)","Well-child care, immunizations, sick clinic, chronic disease follow-up",Board-Certified pediatricians (FAAP),Newborns through college-age,After-hours triage; on-site lab; weekend urgent clinic,Serving families for 40+ years with personalized pediatric care.
,"Redmont Pediatric Associates, P.C.","805 St. Vincent’s Dr Suite 430, Birmingham, AL 35205",(205) 939-1250,https://www.redmontpediatrics.com,Mon–Fri 8:00am–5:00pm; Sat sick hours by appt,Facebook 5★,"Most plans (BCBS, Medicaid, Humana, etc.)","Checkups, same-day sick visits, immunizations, lactation support, ADHD mgmt",Board-Certified pediatricians (FAAP),Newborn through teens,Patient portal; 24-hour on-call,Personalized pediatric care at St. Vincent’s since 1992.
