Name,Category,Rating,ReviewsCount,Phone,Address,Website,GoogleMapsURL,Description,SourceFile
Pediatric Dental Associates Birmingham,Pediatric dentist,4.9,902,(205) 251-1010,·,"https://www.google.com/maps/dir//Pediatric+Dental+Associates+Birmingham,+2320+7th+Ave+S,+Birmingham,+AL+35233/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891bdd523a772d:0x1dd7a083106e8c95?sa=X&ved=1t:57443&ictx=111",http://www.pediatricdentalassociatesal.com/,"""The hygienist and  do a great job making the  feel comfortable.""",google (14).csv
Liberty Park Children's Dentistry,Pediatric dentist,5.0,399,(205) 403-5423,·,"https://www.google.com/maps/dir//Liberty+Park+Children's+Dentistry,+1950+Stonegate+Dr+%23100,+Vestavia+Hills,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889172a9e282183:0x2062b1f4c98c64ea?sa=X&ved=1t:57443&ictx=111",http://libertyparkchildrensdentistry.com/,"""Pulled my  teeth out with ease and made them feel at home.""",google (14).csv
Dr. Clark Thomas Pediatric Dentistry,Pediatric dentist,4.9,702,(205) 879-6150,·,"https://www.google.com/maps/dir//Dr.+Clark+Thomas+Pediatric+Dentistry,+721+Montclair+Rd,+Birmingham,+AL+35213/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891a1546c8bd93:0x94f99dbf3b931bce?sa=X&ved=1t:57443&ictx=111",https://www.thomaspediatricdentistry.com/,"""Very friendly and knowledgeable staff, and my  love them.""",google (14).csv
Powell Pediatric Dentistry,Pediatric dentist,5.0,193,(205) 538-3335,·,"https://www.google.com/maps/dir//Powell+Pediatric+Dentistry,+1628+29th+Ct+S+%23200,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891965b0f6c951:0xc150666a624fc219?sa=X&ved=1t:57443&ictx=111",http://www.powellpediatricdentist.com/,"""The staff kept in constant contact with me for my daughters oral surgery.""",google (14).csv
Alabama Pediatric Dentistry,Pediatric dentist,4.5,22,(205) 802-7277,·,"https://www.google.com/maps/dir//Alabama+Pediatric+Dentistry,+3500+Independence+Dr+%23100,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889197c647751b1:0xf7ddb4fb1d8c8d7a?sa=X&ved=1t:57443&ictx=111",http://www.alabamapediatricdentistry.com/,"""Great staff and knowledgeable !""",google (14).csv
Homewood Pediatric Dentistry,Pediatric dentist,5.0,19,(205) 332-3886,·,"https://www.google.com/maps/dir//Homewood+Pediatric+Dentistry,+2828+Central+Ave,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891973591ac60d:0xcff76a136877f20e?sa=X&ved=1t:57443&ictx=111",https://www.homewoodpediatricdentistry.com/,"""The office is always SO clean & amazing for children of all ages!""",google (14).csv
"Michael A. Keller, DDS, PC",Pediatric dentist,5.0,207,(205) 870-7110,·,"https://www.google.com/maps/dir//Michael+A.+Keller,+DDS,+PC,+2045+Brookwood+Medical+Center+Dr+%237,+Birmingham,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891997f0b90cb9:0xa56298fbe028647a?sa=X&ved=1t:57443&ictx=111",http://mkellerdds.com/,"""They took the time to make my  feel comfortable and at ease.""",google (14).csv
Children's of Alabama - Dentistry (Dental),Pediatric dentist,3.0,7,(205) 638-9161,·,"https://www.google.com/maps/dir//Children's+of+Alabama+-+Dentistry+(Dental),+McWane+Building+Clinic,+1600+7th+Ave+S+%239,+Birmingham,+AL+35233/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891b8f6233cbdd:0x9d2d674fdc0a43bf?sa=X&ved=1t:57443&ictx=111",https://www.childrensal.org/dental-clinic,"""she was informative and nice (to me) - just nooooot with my kid.""",google (14).csv
Summit Smiles Pediatric Dentistry,Pediatric dentist,5.0,143,(205) 490-6850,·,"https://www.google.com/maps/dir//Summit+Smiles+Pediatric+Dentistry,+4213+Dolly+Ridge+Rd,+Vestavia+Hills,+AL+35243/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x888917638b1a2869:0x9b6a1203ed16842c?sa=X&ved=1t:57443&ictx=111",http://www.summitsmiles.com/,"""They were amazing with my 5 year old and very informative!""",google (14).csv
Lovell Pediatric Dentistry,Pediatric dentist,5.0,346,(205) 957-6611,·,"https://www.google.com/maps/dir//Lovell+Pediatric+Dentistry,+1900+28th+Ave+S+STE+109,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889197c7d114d15:0x97fa8f8dc57f36e9?sa=X&ved=1t:57443&ictx=111",http://www.lovellpediatricdentistry.com/,"""They made our daughter’s first  appointment easy, fun and memorable!""",google (14).csv
