Name,Category,Rating,ReviewsCount,Phone,Address,Website,GoogleMapsURL,Description,SourceFile
Hoover Pediatrics,Pediatric clinic,4.9,153,(205) 536-6007,·,https://www.google.com/aclk?sa=L&ai=DChsSEwjRjIiEooiQAxWERn8AHe7BGv4YACICCAEQCBoCb2E&co=1&ase=2&gclid=CjwKCAjw6P3GBhBVEiwAJPjmLuOAWsqfg-YHlosk_YhETuHVRUbRr2LA5f-EUlP4YAdSnJhHNRv_-hoCfswQAvD_BwE&cid=CAASN-Ro8ocKbM3UIPCfh1ISdeNWqImDssC09YilHf5G14TzQVZkKiyKRY5Et8ccDHYTmNcvP88uF0o&cce=2&category=acrcp_v1_32&sig=AOD64_2hllMWcRpOM6yIIt3GgR0juFBxuw&ctype=50&q=&ved=2ahUKEwi1hIOEooiQAxUpGtAFHX1hNDw4FBCFrAF6BAgcEBE&adurl=,https://www.google.com/aclk?sa=L&ai=DChsSEwjRjIiEooiQAxWERn8AHe7BGv4YACICCAEQBxoCb2E&co=1&ase=2&gclid=CjwKCAjw6P3GBhBVEiwAJPjmLki3dRxroLDLKJqRrxmBTN7fYONXxm2jDaDJ6h-l4N5MfBeA8e2QhBoCiW8QAvD_BwE&cid=CAASN-Ro8ocKbM3UIPCfh1ISdeNWqImDssC09YilHf5G14TzQVZkKiyKRY5Et8ccDHYTmNcvP88uF0o&cce=2&category=acrcp_v1_32&sig=AOD64_3sSbJASmLd8AI9q5qWCG8TmIjcQg&q=&nis=4&ctype=99&ved=2ahUKEwi1hIOEooiQAxUpGtAFHX1hNDw4FBCErAF6BAgcEBA&adurl=,,google (1).csv
UAB Sparks Pediatrics Primary Care,Pediatrician,4.0,1,(205) 934-7027,·,"https://www.google.com/maps/dir//UAB+Sparks+Pediatrics+Primary+Care,+20th+St+Community+Health+Services+Bldg,+930+20th+Street+South,+20th+St+S+Suite+140,+Birmingham,+AL+35205/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891bc3eb7ac87f:0x4f13218f847fa553?sa=X&ved=1t:57443&ictx=111",https://www.uab.edu/medicine/civitansparks/pediatrics-clinics,,google (1).csv
"Natalie Tibbetts, MD",Pediatrician,4.8,17,(205) 206-8480,·,"https://www.google.com/maps/dir//Natalie+Tibbetts,+MD,+832+Princeton+Ave+SW,+Birmingham,+AL+35211/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891c2353baef7f:0x9ed74c6b8b9312b6?sa=X&ved=1t:57443&ictx=111",http://simonwilliamsonclinic.com/,"""I couldn't ask for a better physician for my kids.""",google (1).csv
"Dr. Eva V. Allen, MD",Pediatrician,5.0,3,(205) 930-9500,·,"https://www.google.com/maps/dir//Dr.+Eva+V.+Allen,+MD,+1621+11th+Ave+S,+Birmingham,+AL+35205/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891bc2b2815d9b:0xdebf5d1a55afafa9?sa=X&ved=1t:57443&ictx=111",,,google (1).csv
Children's of Alabama - Children's South Pediatric Outpatient Center,Medical Center,4.6,21,(205) 638-4800,·,"https://www.google.com/maps/dir//Children's+of+Alabama+-+Children's+South+Pediatric+Outpatient+Center,+Children's+South,+1940+Elmer+J+Bissell+Rd,+Birmingham,+AL+35243/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889195903ac68c9:0x46d8095cde58dcb0?sa=X&ved=1t:57443&ictx=111",https://www.childrensal.org/childrens-south,"""Great service, doctor explained our situation thoroughly""",google (1).csv
"Nancy L. Zumstein, MD",Pediatrician,5.0,3,(205) 206-8200,·,"https://www.google.com/maps/dir//Nancy+L.+Zumstein,+MD,+832+Princeton+Ave+SW,+Birmingham,+AL+35211/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891c2353baef7f:0xe5f26fa4e610aea1?sa=X&ved=1t:57443&ictx=111",https://completehealth.com/primary-care-clinics/birmingham-al-simon-williamson/,"""Dr Z is AMAZING my kids and I love her so much.""",google (1).csv
Dr. Rebecca Thompson,Pediatrician,4.3,6,(205) 723-0395,·,"https://www.google.com/maps/dir//Dr.+Rebecca+Thompson,+3686+Grandview+Pkwy,+Birmingham,+AL+35243/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889172dd9004f6d:0xe08e3203ee536898?sa=X&ved=1t:57443&ictx=111",http://www.purohitpeds.com/,,google (1).csv
"Dr. Kenneth L. Mccormick, MD",Pediatrician,5.0,1,(205) 939-9108,·,"https://www.google.com/maps/dir//Dr.+Kenneth+L.+Mccormick,+MD,+1601+4th+Ave+S,+Birmingham,+AL+35210/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891bec633646e9:0xede365c37dbb3fc5?sa=X&ved=1t:57443&ictx=111",,,google (1).csv
"Dr. Millie M. Mcdaniel, MD",Pediatrician,5.0,1,(205) 251-4141,·,"https://www.google.com/maps/dir//Dr.+Millie+M.+Mcdaniel,+MD,+2316+7th+Ave+S+%23+100,+Birmingham,+AL+35233/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891bc76fc8bd65:0x3e4e38b5e537ff8f?sa=X&ved=1t:57443&ictx=111",http://www.childrensmedicalgroupbham.com/,"""She was my mom’s  as well mine and my little sister.""",google (1).csv
Tots 'N' Teens Pediatrics,Pediatrician,3.9,44,(205) 856-4440,·,"https://www.google.com/maps/dir//Tots+'N'+Teens+Pediatrics,+3729+Mary+Taylor+Rd,+Birmingham,+AL+35235/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88890dae6fe25745:0x39e085a52c593b84?sa=X&ved=1t:57443&ictx=111",http://www.totsnteenspediatrics.com/,"""The best staff for my children and they care about their patients.""",google (1).csv
