Name,Address,Source,SourceFile,image-wrapper href,photo src,place-name,address,city,material-icons,material-icons 2,info,material-icons 3,description,program-link href,program,badge 3,btn href,city 2,details,neighborhood,badge
,2825 US-31,Winnie,winnie (1).csv,https://winnie.com/place/la-petite-academy-of-pelham-2,https://winnie.imgix.net/8dd9439c-2754-4c67-ba1f-be57624e922b?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,La Petite Academy of Pelham,2825 US-31,Pelham,location_on,check_circle,Verified,stars,"Discover the joy of early learning at La Petite Academy. Whether caring for your baby, preparing your preschooler for kindergarten, or supporting your elementary student (up to age 12) in the morning...",https://winnie.com/place/la-petite-academy-of-pelham-2#infants,Infants,6 w - 12 mo,https://winnie.com/place/la-petite-academy-of-pelham-2#contact_form,"Pelham, AL",,,
,5198 Valleydale Rd,Winnie,winnie (1).csv,https://winnie.com/place/la-petite-academy-of-birmingham,https://winnie.imgix.net/41a3e849-c1b8-4d45-9f69-0a8f1714717d?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,La Petite Academy of Birmingham,5198 Valleydale Rd,Birmingham,location_on,check_circle,Verified,stars,"Discover the joy of early learning at La Petite Academy. Whether caring for your baby, preparing your preschooler for kindergarten, or supporting your elementary student (up to age 12) in the morning...",https://winnie.com/place/la-petite-academy-of-birmingham#infants,Infants,6 w - 12 mo,https://winnie.com/place/la-petite-academy-of-birmingham#contact_form,"Birmingham, AL",,,
,3160 Old Columbiana Rd,Winnie,winnie (1).csv,https://winnie.com/place/hoover-kindercare-hoover,https://winnie-partners.imgix.net/ec593780-07cb-4627-b471-20eb54578419/venue_photo/dbea44a0-0ea3-402b-ab7d-c9770bbb9031?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Hoover KinderCare,3160 Old Columbiana Rd,Hoover,location_on,check_circle,Verified,stars,Childcare center and preschool program for infants through Pre-Kindergarten. Utilizes a play-based curriculum focused on inspiring a love of learning through a combination of early academics and...,https://winnie.com/place/hoover-kindercare-hoover#infant-daycare,Infant Daycare,0 mo - 12 mo,https://winnie.com/place/hoover-kindercare-hoover#contact_form,"Hoover, AL",,,
,1800 Urban Center Pkwy,Winnie,winnie (1).csv,https://winnie.com/place/primrose-school-at-liberty-park-vestavia-hills,https://winnie-partners.imgix.net/primrose/photos/53FelCkjfqMyRPhwkXWLSiYrlyHfUYG9106f2Mq2pH0.jpg?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Primrose School at Liberty Park,1800 Urban Center Pkwy,Vestavia Hills,location_on,check_circle,Claimed,stars,"Primrose School at Liberty Park is an accredited, premium early education and care provider offering proven Infant, Toddler, Preschool, and Pre-Kindergarten programs. Our research based, time-tested...",https://winnie.com/place/primrose-school-at-liberty-park-vestavia-hills#infant-program,Infant Program,6 w - 12 mo,https://winnie.com/place/primrose-school-at-liberty-park-vestavia-hills#contact_form,"Vestavia Hills, AL",Contact this provider for pricing and availability,,
,970 Forestdale Blvd,Winnie,winnie (1).csv,https://winnie.com/place/robbies-miracle-christian-academy-birmingham,https://winnie-static.imgix.net/default/daycare_5.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Robbie's Miracle Christian Academy,970 Forestdale Blvd,Birmingham,location_on,check_circle,Claimed,phone,Early child development center specializing in care for infants and toddlers. Abeka curriculum is used to introduce age-appropriate activities and lessons as the focus is placed on education and the...,https://winnie.com/place/robbies-miracle-christian-academy-birmingham#daycare-program,Daycare Program,0 mo - 4 yr 11 mo,https://winnie.com/place/robbies-miracle-christian-academy-birmingham#contact_form,"Birmingham, AL",,,
,414 42nd Alley,Winnie,winnie (1).csv,https://winnie.com/place/gods-little-sheep-church-fairfield,https://winnie-static.imgix.net/default/daycare_31.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Gods Little Sheep Church,414 42nd Alley,Fairfield,location_on,check_circle,Claimed,,"Gods Little Sheep Church in Fairfield, AL, provides a nurturing environment for children, offering a safe space for learning and development. The facility caters to children from 2 weeks to 12 years...",https://winnie.com/place/gods-little-sheep-church-fairfield#daycare-program,Daycare Program,2 mo - 12 yr,https://winnie.com/place/gods-little-sheep-church-fairfield#contact_form,"Fairfield, AL",Contact this provider for pricing and availability,,
,,Winnie,winnie (1).csv,https://winnie.com/place/the-house-of-learning-home-day-care-forestdale,https://winnie-static.imgix.net/default/daycare_26.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,The House Of Learning Home Day Care,,Forestdale,location_on,check_circle,Claimed,,House of Learning was established in 2005. The directors/ teachers are a mother-and-daughter team with over 30 years of teaching experience. We offer a creative curriculum that identifies goals in all...,https://winnie.com/place/the-house-of-learning-home-day-care-forestdale#daycare-program,Daycare Program,12 mo - 4 yr 11 mo,https://winnie.com/place/the-house-of-learning-home-day-care-forestdale#contact_form,"Forestdale, AL",Contact this provider for pricing and availability,,
,2262 Chapel Rd,Winnie,winnie (1).csv,https://winnie.com/place/pioneer-playschool-hoover,https://winnie.imgix.net/9a701f7f-d137-47fa-912a-825a6707011f?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Pioneer Playschool,2262 Chapel Rd,Hoover,location_on,check_circle,Claimed,,"Site provides early learning programs and childcare services for toddlers, preschool and school-age children. Imagination and creativity are encouraged through hands-on experiences. Curriculum...",https://winnie.com/place/pioneer-playschool-hoover#daycare-program,Daycare Program,2 yr 6 mo - 12 yr,https://winnie.com/place/pioneer-playschool-hoover#contact_form,"Hoover, AL",Contact this provider for pricing and availability,,
,2330 John Hawkins Pkwy,Winnie,winnie (1).csv,https://winnie.com/place/la-petite-academy-of-hoover-birmingham,https://winnie.imgix.net/e7353316-801e-4882-af69-bb1e4f5e1342?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,La Petite Academy of Hoover,2330 John Hawkins Pkwy,Birmingham,location_on,check_circle,Claimed,stars,"Discover the joy of early learning at La Petite Academy. Whether caring for your baby, preparing your preschooler for kindergarten, or supporting your elementary student (up to age 12) in the morning...",https://winnie.com/place/la-petite-academy-of-hoover-birmingham#infants,Infants,6 w - 12 mo,https://winnie.com/place/la-petite-academy-of-hoover-birmingham#contact_form,"Birmingham, AL",Contact this provider for pricing and availability,,
,4731 Chace Cir,Winnie,winnie (1).csv,https://winnie.com/place/childrens-lighthouse-of-hoover,https://winnie.imgix.net/0ac698c6-0dc0-496d-aed9-2d6c33ce3c46?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Children's Lighthouse of Hoover,4731 Chace Cir,Hoover,location_on,check_circle,Claimed,,Program offers childcare and early educational services for young learners. School-readiness curriculum strengthens social and emotional development through age-appropriate activities. Learning...,https://winnie.com/place/childrens-lighthouse-of-hoover#daycare-program,Daycare Program,6 w - 12 yr,https://winnie.com/place/childrens-lighthouse-of-hoover#contact_form,"Hoover, AL",Contact this provider for pricing and availability,,
